league,season,date,home_team,away_team,home_goals,away_goals,status,source_updated_at
bundesliga,2122,2021-08-13,Borussia Monchengladbach,Bayern Munich,1,1,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-14,Augsburg,Hoffenheim,0,4,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-14,Bielefeld,Freiburg,0,0,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-14,Stuttgart,Greuther Furth,5,1,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-14,Union Berlin,Bayer Leverkusen,1,1,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-14,Wolfsburg,Bochum,1,0,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-14,Borussia Dortmund,Eintracht Frankfurt,5,2,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-15,Mainz,RB Leipzig,1,0,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-15,FC Cologne,Hertha,3,1,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-20,RB Leipzig,Stuttgart,4,0,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-21,Bochum,Mainz,2,0,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-21,Eintracht Frankfurt,Augsburg,0,0,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-21,Freiburg,Borussia Dortmund,2,1,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-21,Greuther Furth,Bielefeld,1,1,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-21,Hertha,Wolfsburg,1,2,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-21,Bayer Leverkusen,Borussia Monchengladbach,4,0,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-22,Hoffenheim,Union Berlin,2,2,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-22,Bayern Munich,FC Cologne,3,2,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-27,Borussia Dortmund,Hoffenheim,3,2,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-28,Augsburg,Bayer Leverkusen,1,4,played,2026-08-27 22:28:18.630211+00:00
bundesliga,2122,2021-08-28,Bielefeld,Eintracht Frankfurt,1,1,played,2026-08-27 22:28:18.630211+00:00
