league,season,date,home_team,away_team,home_goals,away_goals,status,source_updated_at
ligue_1,2223,2022-08-05,Olympique Lyonnais,Ajaccio,2,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-06,Strasbourg,Monaco,1,2,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-06,Clermont,Paris Saint-Germain,0,5,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-07,Toulouse,Nice,1,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-07,Angers,Nantes,0,0,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-07,Lens,Brest,3,2,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-07,Lille,Auxerre,4,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-07,Montpellier,Troyes,3,2,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-07,Rennes,Lorient,0,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-07,Olympique Marseille,Reims,4,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-12,Nantes,Lille,1,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-13,Monaco,Rennes,1,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-13,Paris Saint-Germain,Montpellier,5,2,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-14,Ajaccio,Lens,0,0,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-14,Auxerre,Angers,2,2,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-14,Reims,Clermont,2,4,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-14,Troyes,Toulouse,0,3,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-14,Nice,Strasbourg,1,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-14,Brest,Olympique Marseille,1,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-19,Olympique Lyonnais,Troyes,4,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-20,Monaco,Lens,1,4,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-20,Olympique Marseille,Nantes,2,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-21,Strasbourg,Reims,1,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-21,Angers,Brest,1,3,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-21,Clermont,Nice,1,0,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-21,Montpellier,Auxerre,1,2,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-21,Toulouse,Lorient,2,2,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-21,Rennes,Ajaccio,2,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-21,Lille,Paris Saint-Germain,1,7,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-26,Ajaccio,Lille,1,3,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-27,Auxerre,Strasbourg,1,0,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-27,Lens,Rennes,2,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-28,Nantes,Toulouse,3,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-28,Brest,Montpellier,0,7,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-28,Lorient,Clermont,2,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-28,Nice,Olympique Marseille,0,3,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-28,Troyes,Angers,3,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-28,Reims,Olympique Lyonnais,1,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-28,Paris Saint-Germain,Monaco,1,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-31,Angers,Reims,2,4,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-31,Olympique Lyonnais,Auxerre,2,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-31,Monaco,Troyes,2,4,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-31,Montpellier,Ajaccio,2,0,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-31,Strasbourg,Nantes,1,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-31,Lens,Lorient,5,2,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-31,Lille,Nice,1,2,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-31,Olympique Marseille,Clermont,1,0,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-31,Rennes,Brest,3,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-08-31,Toulouse,Paris Saint-Germain,0,3,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-03,Auxerre,Olympique Marseille,0,2,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-03,Olympique Lyonnais,Angers,5,0,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-03,Nantes,Paris Saint-Germain,0,3,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-04,Montpellier,Lille,1,3,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-04,Ajaccio,Lorient,0,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-04,Brest,Strasbourg,1,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-04,Clermont,Toulouse,2,0,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-04,Reims,Lens,1,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-04,Troyes,Rennes,1,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-04,Nice,Monaco,0,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-07,Lorient,Olympique Lyonnais,3,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-09,Lens,Troyes,1,0,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-10,Paris Saint-Germain,Brest,1,0,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-10,Olympique Marseille,Lille,2,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-11,Strasbourg,Clermont,0,0,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-11,Ajaccio,Nice,0,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-11,Angers,Montpellier,2,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-11,Lorient,Nantes,3,2,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-11,Toulouse,Reims,1,0,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-11,Rennes,Auxerre,5,0,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-11,Monaco,Olympique Lyonnais,2,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-16,Auxerre,Lorient,1,3,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-17,Montpellier,Strasbourg,2,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-17,Lille,Toulouse,2,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-18,Reims,Monaco,0,3,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-18,Brest,Ajaccio,0,1,played,2026-08-27 22:28:10.935877+00:00
ligue_1,2223,2022-09-18,Clermont,Troyes,1,3,played,2026-08-27 22:28:10.935877+00:00
