Pos,Team,MP,W,D,L,GF,GA,GD,Pts,Last5,Pts_zscore,GD_zscore,Pts_pct,GD_pct,Strength
1,Arsenal,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
2,Aston Villa,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
3,Bournemouth,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
4,Brentford,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
5,Brighton,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
6,Chelsea,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
7,Coventry City,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
8,Crystal Palace,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
9,Everton,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
10,Fulham,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
11,Hull City,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
12,Ipswich Town,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
13,Leeds,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
14,Liverpool,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
15,Man City,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
16,Man United,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
17,Newcastle,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
18,Nott'm Forest,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
19,Sunderland,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
20,Tottenham,0,0,0,0,0,0,0,0,[],0.0,0.0,52.5,52.5,Above Average
