Group,Team,FIFA_Rank,Confederation
A,Mexico,13,CONCACAF
A,South Korea,22,AFC
A,South Africa,56,CAF
A,Czechia,39,UEFA
B,Canada,30,CONCACAF
B,Switzerland,20,UEFA
B,Qatar,53,AFC
B,Bosnia and Herzegovina,74,UEFA
C,Brazil,6,CONMEBOL
C,Morocco,8,CAF
C,Scotland,43,UEFA
C,Haiti,83,CONCACAF
D,United States,16,CONCACAF
D,Paraguay,48,CONMEBOL
D,Australia,24,AFC
D,Turkiye,26,UEFA
E,Germany,9,UEFA
E,Ecuador,25,CONMEBOL
E,Ivory Coast,44,CAF
E,Curacao,82,CONCACAF
F,Netherlands,7,UEFA
F,Japan,18,AFC
F,Sweden,28,UEFA
F,Tunisia,49,CAF
G,Belgium,10,UEFA
G,Egypt,32,CAF
G,Iran,21,AFC
G,New Zealand,89,OFC
H,Spain,1,UEFA
H,Uruguay,15,CONMEBOL
H,Saudi Arabia,58,AFC
H,Cape Verde,72,CAF
I,France,2,UEFA
I,Senegal,17,CAF
I,Norway,33,UEFA
I,Iraq,60,AFC
J,Argentina,3,CONMEBOL
J,Austria,23,UEFA
J,Algeria,36,CAF
J,Jordan,64,AFC
K,Portugal,5,UEFA
K,Colombia,12,CONMEBOL
K,Uzbekistan,57,AFC
K,DR Congo,61,CAF
L,England,4,UEFA
L,Croatia,11,UEFA
L,Panama,38,CONCACAF
L,Ghana,76,CAF
